Aboriginal Law	
Academic Writing Guide	
Accounting	
ADMS 4551: Auditing and Other Assurance Services	c:all,c:ap/adms4551
ADMS 4553: Auditing: Advanced Topics	c:all,c:ap/adms4553
African Diaspora	
African Studies	s:ak/rei,s:ap/afrs,s:as/afrs,s:es/afrs,s:es/hsp,s:gl/ilst
Anatomy & Physiology	s:ap/kine,s:as/kine,s:as/phed,s:ed/kine,s:fa/kine,s:gs/kahs,s:gs/phed,s:hh/kine,s:hh/pkin,s:sc/kine,s:sc/phed
Anthropology	s:ap/anth,s:ap/behs,s:as/anth,s:es/anth,s:gs/anth,s:gs/soan
AP/HUMA 1970B The Worlds of Childhood	c:2012_ap_huma_y_1970__9_b_en_a_lect_01,c:all,s:ap/huma
Archival Research Tutorial	
Art, Architecture and Design	architecture,art,design,s:fa/cchs,s:gs/ahvc,s:gs/arth
ARTH 5130: Graduate Seminar I (Art History)	c:2012_gs_arth_f_5130__3_a_en_a_semr_01,c:all
Asian Studies	s:ak/ch,s:ak/jp,s:ak/rei,s:as/ch,s:as/chlt,s:as/east,s:as/jlt,s:as/jp,s:as/sast,s:as/thai,s:ed/jap,s:es/east
Astronomy	s:gs/phas,s:sc/spsc
Biochemistry	s:ak/biol,s:ak/chem,s:as/biol,s:as/chem,s:ed/biol,s:ed/chem,s:gs/biol,s:gs/chem,s:sc/bchm,s:sc/biol,s:sc/chem,s:sx/apbi
Biography	
Bioinformatics	
Biol2050	
Biology	s:ap/biol,s:ap/nats,s:ed/biol,s:es/biol,s:gl/nats,s:gs/biol,s:sc/apbi,s:sc/bchm,s:sc/biol
Bloomberg	
Book Reviews	
Business	
Business Ethics	s:sb/*
Canadiana	s:ak/cdns,s:ap/cdns,s:as/cdns,s:gl/cdns
Career Research Resources	
Career Resources	
CHEM 3070: Industrial and Green Chemistry	c:ak/chem,c:sc/chem3070
CHEM 3071 Pharmaceutical Discovery	
Chemistry	s:ak/chem,s:ap/chem,s:as/chem,s:ed/chem,s:gs/chem,s:sc/bchm,s:sc/chem
Citation Guide	
Citation Management Programs	
Cited Reference Searching	
Classical Studies	archaeology,greece,mythology,philosophy,rome,s:ak/clst,s:ak/la,s:ap/clas,s:ap/clst,s:as/clas,s:as/clst,s:as/gk,s:as/la
CMNS3700 Advertising: The Growth of a Twentieth Belief System	c:all,c:ap/comn3700
Communication and Culture	s:ap/cltr,s:ap/coma,s:ap/comn,s:ap/mscm,s:as/coma,s:as/comn,s:fa/facs,s:gs/cmct
Computer Science	s:gs/cse,s:sc/cse
Constitutional Law	
Corporate Governance	
Corporate Law	
Course Research Guides	
Criminal Law	canadian law,criminal law,foreign law,international law,law
Criminology	
Critical Disability Studies	s:gs/cdis
DANC4252	
Dance	s:ak/danc,s:ap/danc,s:as/danc,s:ed/danc,s:fa/danc,s:gs/danc,s:gs/dast
Data & Statistics	
Datastream	
Disaster & Emergency Management	s:ap/dems,s:gs/dems
Drake Lab: Biomechanics	
Economics	s:ad/ilbs,s:ad/mblb,s:ak/buec,s:ak/econ,s:ap/buec,s:ap/ecob,s:ap/econ,s:ap/fbec,s:ap/mgec,s:as/ecob,s:as/econ,s:as/mgec,s:ed/econ,s:es/econ,s:fa/mgec,s:gl/buec,s:gl/econ,s:gs/econ,s:sb/*
Education	s:ap/educ,s:ap/gned,s:ed/*,s:ed/ece,s:gs/educ
EN 1001: Introduction to Literary Study	c:all,c:ap/en1001
Encyclopedias	
English Literature	s:ak/en,s:ap/en,s:ap/enpr,s:as/en,s:ed/en,s:es/en,s:gl/en,s:gs/en,s:gs/engl
Environmental Studies	s:es/*
ENVS 3520: Applications of Geographic Information Systems in Environmental Studies	
ENVS 4520: GIS Applications in Environmental Studies 	c:all,c:es/envs4520
ESL 1000: Canadian Language & Culture	
ESL 1450: Thinking About Contemporary Canada	c:2012_ap_esl_y_1450__6_e_en_a_semr_01,c:all
Family Law	
Film Studies	s:ak/film,s:ap/film,s:as/film,s:es/film,s:fa/film,s:gs/cims,s:gs/film
Finance	
Finding journal articles	
Finding Psychological Tests	s:ak/psyc,s:ap/psyc,s:as/psyc,s:es/psyc,s:fa/psyc,s:gl/psyc,s:gs/psyc,s:hh/psyc,s:sc/psyc
Finding Toronto Bylaws	
First Nations in Canada	
Footnotes & bibliographies	
French literature	francais,french,literature,litterature,s:ed/fr,s:es/fr,s:gs/etfr,s:gs/etrp
Gender & the Law	
General Research Guide	
GEOG 2310 Introduction to Refugee and Migration Studies	c:all,c:ap/geog2310
GEOG 2350 - Introduction to Geoinformatics 	
Geography	s:ap/geog,s:ed/envs,s:ed/geog,s:es/envs,s:gs/envs,s:gs/ess,s:gs/geog,s:sc/eats,s:sc/geog
Geospatial Data	c:ap/geog2350,c:ap/geog3180,c:ap/geog3440,c:ap/geog4340,c:ap/geog4440,c:es/4521,c:es/envs3521,c:es/envs4520,c:gs/ess5180,c:gs/ess5400,c:sc/eats3300,c:sc/eats4220,c:sc/eats4400,c:sc/eats4630,c:sc/eng4130
GER 2790 / HUMA 2190 : Germany Through the Ages	
GL/ECON 3300 Managerial Economics	
GL/ECON 4290: International Economics	s:gl/econ
GL/ENSL 2700 Academic Foundations	
GL/HIST 2000 Comment Ãtudier l'Histoire	s:gl/hist
GL/HIST 2000 How to Study History	
GL/HIST 3345 Immigration Experience, U.S. 1840-1930	
GL/HUMA 2634 Spatiality and Spatial Representation	
GL/ILST 2200 International Society	
GL/ILST 2200 SociÃ©tÃ© Internationale	
GL/ILST 2655: Global Geography: Physical and Human Aspects	s:gl/ilst
GL/ILST 3505: Recherche en Ãtudes internationales 	s:gl/ilst
GL/NATS 1605 Communication, Health and Environment	
GL/POLS 2500 Introduction Ã  l'administration et aux politiques publiques 	
GL/POLS 2510 Introduction to Comparative Politics	
GL/POLS 2600 Introduction Ã  la politique canadienne	
GL/POLS 2920 Introduction aux Relations Internationales	
GL/POLS 3360 La Politique du QuÃ©bec/Politics in Quebec	
GL/Skills Course	
GL/SOCI 2010 Canadian Society	
GL/SOCI 2520 (Deviance)	s:gl/soci
GL/SOCI 3980 The Sociology of Environmental Issues 	
GL/SP 3300 - Spanish Literature and Civilization	
GL/SP 4460 Latin American Women Writers of the XX Century	
GL/SP3400 Spanish-American Literature	
GL/TRAD 3260 Documentation	
GL/TRAD 3260 Translation	s:gl/tran
GL/TRAN 3260 -- Documentacion	s:gl/tran
GL/WMST 3510 Women and Work	
Government Information Links	
Government Information on the Internet: Provincial, Territorial and Municipal Governments	
Government Materials	
Government Publications	
Graduate Orientation	s:gs/kahs
Graduate Students	
Graduate Workshop	
Health	health,health administration,health management,health policy,public health,s:ak/hest,s:ak/hinf,s:ak/hman,s:ak/hpol,s:ak/nurs,s:ap/heso,s:ap/hest,s:ap/hlst,s:ap/hman,s:ap/hpol,s:ap/kine,s:as/heso,s:as/kine,s:ed/heph,s:ed/kine,s:ed/phee
Health Industry Management	
HealthAid Network	s:ed/kine,s:es/kine,s:fa/kine,s:gs/kahs,s:gs/phed,s:hh/kine,s:hh/pkin,s:sc/kine,s:sc/phed
History - General	s:ak/hist,s:ap/hist,s:as/arab,s:as/hist,s:ed/hist,s:es/hist,s:gl/hist,s:gs/hist
History and Philosophy of Science and Technology	s:ak/hist,s:ak/nats,s:ap/hist,s:as/arab,s:as/hist,s:ed/hist,s:es/hist,s:gl/hist,s:gl/nats,s:gs/hist
History, Ancient	s:ak/hist,s:ap/hist,s:as/arab,s:as/hist,s:ed/hist,s:es/hist,s:gl/hist,s:gs/hist
History, British	s:ak/hist,s:ap/hist,s:as/arab,s:as/hist,s:ed/hist,s:es/hist,s:gl/hist,s:gs/hist
History, Canadian	s:ak/hist,s:ap/hist,s:as/arab,s:as/hist,s:ed/hist,s:es/hist,s:gl/hist,s:gs/hist
History, East Asian	s:ak/hist,s:ap/hist,s:as/arab,s:as/hist,s:ed/hist,s:es/hist,s:gl/hist,s:gs/hist
History, Islamic	s:ak/hist,s:ap/hist,s:as/arab,s:as/hist,s:ed/hist,s:es/hist,s:gl/hist,s:gs/hist
History, Latin American	s:ak/hist,s:ap/hist,s:as/arab,s:as/hist,s:ed/hist,s:es/hist,s:gl/hist,s:gs/hist
History, Medieval	s:ak/hist,s:ap/hist,s:as/arab,s:as/hist,s:ed/hist,s:es/hist,s:gl/hist,s:gs/hist
History, Modern European	s:ak/hist,s:ap/hist,s:as/arab,s:as/hist,s:ed/hist,s:es/hist,s:gl/hist,s:gs/hist
History, United States	s:ak/hist,s:ap/hist,s:as/arab,s:as/hist,s:ed/hist,s:es/hist,s:gl/hist,s:gs/hist
HLST1010 Foundations of Health Studies	c:all,c:hh/hlst1010
HP	
HUMA 1650: Networked Imagination	
HUMA 1745: Thinking About Contemporary Canada	
HUMA 1780: Stories in Diverse Media 	
HUMA 1970: The Worlds of Childhood	
HUMA 2680: Early Times: Literature and the Imagination of the Child	
HUMA 2751: Aspects of Italian Culture	
HUMA 4142: Contemporary Children's Culture	
Human Rights & Equity Studies	s:ap/hreq
Human Rights in Africa	
Humanities	s:ak/cltr,s:ak/huma,s:ak/intd,s:ak/lbst,s:ap/huma,s:as/arab,s:as/cdst,s:as/huma,s:as/jsst,s:as/lbst,s:gl/huma,s:gs/huma,s:gs/inst
Immigration and Refugee Law	
Intellectual Property Law	
Intelligence Analysis	
Interdisciplinary (redirect)	
International Studies	international relations,s:ap/idst,s:ap/ilst,s:gl/ilst,s:gs/ibl,s:gs/intc,s:hh/idst,s:sb/ilbs
Islamic Studies	
Italian Studies	s:ap/ilt,s:ap/it,s:ap/itas,s:ap/itcu,s:ed/it
KAHS 6140: Applied Epidemiology	
KAHS6392: Nutrn., Health & Exercise Perform.	c:all,c:hh/kahs6392,s:gs/kahs
KINE 1000: Socio-cultural perspectives in Kinesiology	
KINE 4120: Nutrnl. Aids in Sport and Exercise	s:hh/kine
KINE 4475: Clinical Biomechanics	
Kinesiology	s:ak/nats,s:ap/kine,s:ap/pep,s:ap/phed,s:as/kine,s:as/pep,s:as/phed,s:as/psyc,s:ed/kine,s:ed/phed,s:ed/phee,s:ed/psyc,s:es/kine,s:es/phed,s:fa/kine,s:gl/nats,s:gs,s:gs/eahs,s:gs/eass,s:gs/exhs,s:gs/kahs,s:gs/khsa,s:gs/khss,s:gs/phed
Kinesiology Portal	
Kinesiology Students Portal	
Labour Law	
Law research guides at Osgoode Hall Law Library	
Legal Research for Non-Law Students	
LGBT Studies	
LibAnswers	
Library Guide for International Students	
Linguistics & Applied Linguistics	gl/ling,s:ak/ling,s:ap/asl,s:ap/ling,s:as/asl,s:as/ling,s:gl/lin,s:gs/lal,s:gs/ling
LittÃ©rature franÃ§aise	francais,french,literature,litterature,s:ed/fr,s:es/fr,s:gs/etfr,s:gs/etrp
MATH 4001: Real Analysis III	
MATH5100	
Mathematics	s:ak/matc,s:ak/math,s:as/apma,s:as/itam,s:as/itma,s:as/itmc,s:as/itst,s:as/matc,s:as/math,s:as/stat,s:ed/mat,s:ed/math,s:es/stat,s:gl/mat,s:gl/matc,s:gl/math,s:gs/inam,s:gs/math,s:gs/mats,s:sc,s:sc/apma,s:sc/idms,s:sc/maed,s:sc/matc
Mathematics Portal	
MDES 5101: Design, Theory and Criticism	c:2012_gs_mdes_f_5101__3_a_en_a_semr_01,c:all,c:gs/mdes5101
Mendeley	s:gs/kahs,s:gs/mats
Microfilm	
Mobile eBooks	
Music	music,s:ak/musi,s:ap/musi,s:as/musi,s:ed/musi,s:fa/musi,s:gs/musi
NATS 1670: Concepts in Human Health and Disease	s:ak/nats
Natural Science	s:gs/nats,s:sc/nats
Neuroscience	s:as/cogs,s:as/kine,s:ed/kine,s:ed/psyc,s:es/kine,s:es/psyc,s:gs/kahs,s:gs/khsa,s:gs/khss,s:hh/kine,s:sc/kine
Newspapers	
Nineteenth Century Resources	
Non-Profit Resource Management	
Nonprofit Research	
Nursing	s:ak/nurs,s:ap/nurp,s:ap/nurs,s:gs/hcnp,s:gs/scn,s:hh/hinf,s:hh/hlst,s:hh/hman,s:hh/hpol,s:hh/kine,s:hh/nurs,s:hh/pkin
Occupy Movement Research Guide	
Olympics	s:as/kine,s:as/phed,s:ed/kine,s:ed/phed,s:es/kine,s:es/phed,s:fa/kine,s:gs/kahs,s:gs/phed,s:hh/kine,s:hh/pkin,sports
Open Access Publishing Toolkit	
Permanent Links	
Philosophy	aesthetics,empiricism,epistemology,ethics,existentialism,god,idealism,logic,metaphysics,phenomenology,philosophy,pragmatism,rationalism,s:ak/phil,s:ak/spth,s:ap/phil,s:as/phil,s:as/spth,s:ed/phil,s:gl/modr,s:gl/phil,s:gs/phil,s:gs/so
Physics	s:ed/phys,s:gs/phys,s:sc/phys
Planning	s:es/*,s:es/afrs,s:es/anth,s:es/biol,s:es/east,s:es/econ,s:es/en,s:es/enst,s:es/envs,s:es/film,s:es/fr,s:es/geog,s:es/hist,s:es/hsp,s:es/kine,s:es/nts,s:es/phed,s:es/pols,s:es/psyc,s:es/soci,s:es/stat,s:es/wmst
Plays	
Political Science	s:ak/hpol,s:ak/pols,s:ak/ppa,s:ak/ppm,s:ak/spth,s:ap/gps,s:ap/pols,s:ap/spth,s:as/behs,s:as/gps,s:as/pols,s:as/ppa,s:as/spth,s:ed/pols,s:ed/polt,s:es/pols,s:gl/pols,s:gs/pols,s:gs/ppal,s:gs/sopt,s:hh/hpol
POLS 4292 / 6285	
PPAS3190 Public Administration	c:all,c:ap/ppas3190
Primary Sources	
Program Evaluation and Public Policy Analysis	
Psychology	s:ap/cogs,s:ap/psyc,s:gl/psyc,s:gs/psyc,s:hh/nurs,s:hh/psyc
PsycINFO Guide	s:ak/psyc,s:ap/psyc,s:as/psyc,s:es/psyc,s:fa/psyc,s:gl/psyc,s:gs/psyc,s:hh/psyc,s:sc/psyc
Public Policy	politique publique,public policy,s:ad/puad,s:ak/hpol,s:ak/pajs,s:ak/ppa,s:ak/ppm,s:ap/pajs,s:ap/ppa,s:ap/ppm,s:ap/puad,s:as/ppa,s:gs/ppal,s:gs/puia,s:hh/hpol,s:sb/puad
Race & Ethnicity	s:ak/rei,s:ap/anth,s:ap/rei
Religion	atheism,bible,buddhism,catholicism,christianity,church history,ecclesiology,eschatology,god,hinduism,islam,judaism,karma,mosque,protestantism,qu'ran,religion,s:ak/rels,s:ap/rels,s:as/arab,s:as/rels,s:ed/rels,s:ed/rled,shia,sikh
Research Guides	
Research Guides	
Researching African Women's Human Rights	
Researching Canadian Government Policy	
Researching Canadian Legislation & Parliamentary Materials	
Researching Ontario Government Policy	
Researching United Kingdom Law	
Resources for Instruction Librarians	
Science and Technology Studies 	c:sc/sts3725,s:gs/sts,s:sc/sts
SDC Platinum	
Social Sciences	s:ak/lbst,s:ak/rei,s:ak/sosc,s:ap/behs,s:ap/sosc,s:as/behs,s:as/buso,s:as/heso,s:as/laso,s:as/masc,s:as/siso,s:as/sosc,s:ed/inso,s:ed/mnsc,s:ed/sosc,s:es/nts,s:gl/sosc,s:gs/soan,s:gs/sosc
Social Work	s:ak/nurs,s:ak/sowk,s:ap/sowk,s:gs/scn,s:gs/sowk,s:hh/nurs
Sociology	s:ak/soci,s:ak/sowk,s:ak/spth,s:ak/sxst,s:ap/soci,s:as/soci,s:as/spth,s:ed/soci,s:es/soci,s:gl/soci,s:gs/soan,s:gs/soci,s:gs/sopt,s:gs/sowk
SOSC 1210: Human Rights in a Socio-Legal Context	c:ap/sosc1210
SOSC 2571: Introduction to Modern Social and Political Thought	c:ap/sosc2571
SOSC 2710: City Lives and City Forms: An Introduction to Urban Studies	c:all,c:ap/sosc2710
SOSC 3514: Western Theories of the "Other"	c:all,c:ap/sosc3514
SOSC 3700: Urban Analysis	c:all,c:ap/sosc3700
SOSC 4511: Subjectivity, Alterity, Encounter	c:all,c:ap/sosc4511
Sports	s:as/kine,s:as/pep,s:as/phed,s:ed/kine,s:ed/phed,s:ed/phee,s:ed/psyc,s:es/kine,s:es/phed,s:fa/kine,s:gs/eahs,s:gs/exhs,s:gs/kahs,s:gs/khsa,s:gs/khss,s:hh/kine,s:hh/pkin,s:sc/kine,s:sc/pep,s:sc/phed
Statistics	s:es/stat,s:gs/mats,s:sc/idms,s:sc/stat
STS3725 - Science and Exploration	
TA	
Tax Law	
THEA 1110	c:2012_fa_thea_w_1110__3_m_en_a_lect_01,c:all,c:fa/thea1110
THEA 3200	c:2012_fa_thea_f_3200__3_a_en_a_lect_01,c:all,c:fa/thea3200
THEA 4330: Contemporary Canadian  Theatre	c:2012_fa_thea_f_4330__3_a_en_a_semr_01,c:all,c:fa/thea
Theater	s:ak/thar,s:ak/thea,s:ap/thar,s:ap/thea,s:ed/draa,s:ed/sp,s:ed/thea,s:fa/thea,s:gl/drst,s:gs/thea,s:gs/thes,theater
THST 6100: Theatre Research and Methodology	c:2012_gs_thst_w_6100__3_m_en_a_semr_01,c:all,c:gs/thst6100
Toronto	
Translation Studies	s:gl/tran
Urban Studies	c:ap/sosc3700
Violence Against Women	
VISA 2560: Renaissance and Baroque Art and Architecture	c:2012_fa_visa_y_2560__6_a_en_a_lect_01,c:all
VISA 5620 Graduate Seminar	c:2012_gs_visa_y_5620__6_a_en_a_semr_01,c:all,c:gs/visa5620
Women's Studies	s:ak/wmst,s:ap/wmst,s:as/wmst,s:es/wmst,s:gl/wmst,s:gs/wmst
WRDS	
York Digital Journals	
YorkSpace Resource Site	
Zotero Online Workshop	
